L01 L02 L03 L04 L05 L06 L07 L08 L09 L10 L11 L12 L13 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 L25 L26 L27 L28 L29 L30
024 45/45 07/07 07/37 46/46 12/12 45/45 08/08 03/33 19/19 04/20 19/19 38/38 22/22 16/18 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 45/45 09/19 40/40 18/18 34/46 50/50 11/11 07/42
025 45/45 07/07 41/41 46/46 12/12 43/43 08/08 03/03 19/19 22/22 19/30 38/38 22/34 16/36 33/33 02/02 20/20 40/40 17/34 27/27 14/14 09/09 29/29 06/31 32/40 18/18 34/34 50/50 11/11 18/18
026 45/45 07/07 07/41 46/46 11/12 45/45 08/08 48/48 19/19 22/22 19/19 38/38 22/34 16/36 33/33 32/32 07/07 40/40 17/34 12/12 14/14 42/42 45/45 18/31 40/40 18/48 34/34 50/50 11/11 42/42
027 45/45 07/07 41/41 46/46 12/12 29/45 08/08 03/03 19/19 22/22 19/19 38/38 22/22 36/36 22/22 02/32 07/20 40/40 17/34 27/27 10/14 09/42 29/29 06/12 32/40 18/18 34/34 19/50 11/11 18/18
028 45/45 10/10 22/46 48/48 11/14 25/25 08/36 03/03 05/05 22/34 46/46 18/18 10/10 25/27 22/22 45/45 08/32 08/40 33/33 22/22 14/14 09/09 29/45 06/06 32/32 28/28 06/46 19/36 21/30 23/23
029 45/45 07/07 07/41 46/46 11/47 45/45 08/08 33/33 19/19 04/20 30/30 38/38 34/34 16/18 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
030 34/34 10/10 05/46 48/48 42/46 29/29 36/36 26/26 14/14 22/22 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
031 45/45 07/07 07/07 46/46 11/11 45/45 08/08 33/33 19/19 04/15 19/19 38/38 24/24 16/18 33/33 02/02 07/07 40/40 17/17 27/27 10/14 42/42 29/43 09/19 40/40 48/48 34/46 50/50 11/11 18/18
032 45/45 10/10 05/46 04/08 46/46 29/29 24/36 26/48 05/14 22/34 46/46 41/41 10/10 25/25 15/22 45/45 08/08 08/08 33/43 22/22 41/41 04/43 29/29 06/06 32/32 49/49 46/46 17/19 21/30 23/23
033 45/45 07/07 07/41 46/46 12/12 45/45 08/08 33/33 19/19 20/20 19/30 38/38 24/24 16/16 33/33 41/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 19/19 40/40 18/48 34/34 50/50 11/11 42/42
034 03/45 07/50 41/41 46/46 11/12 43/45 08/08 03/03 19/19 20/22 19/30 38/38 22/22 18/36 33/33 02/32 07/07 40/40 17/34 12/12 10/14 42/42 29/29 09/09 40/40 48/48 34/34 50/50 11/11 42/42
035 34/34 10/10 05/46 48/48 42/46 25/29 36/36 26/48 05/05 34/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/02 29/29 06/06 32/32 28/49 46/46 17/19 21/21 18/23
036 45/45 07/07 07/41 46/46 12/12 45/45 08/08 03/33 14/19 20/22 19/30 38/38 22/34 18/36 33/33 32/32 07/07 19/40 17/17 12/12 14/14 42/42 45/45 09/09 40/40 18/18 46/46 50/50 11/11 42/42
037 45/45 50/50 07/41 46/48 12/12 29/45 13/13 03/03 19/19 20/20 30/46 11/11 10/22 18/36 22/22 02/32 20/20 40/40 17/34 27/27 10/10 09/09 29/29 31/31 32/40 45/48 34/49 50/50 11/11 18/42
038 45/45 50/50 07/41 46/46 12/12 29/29 08/08 03/03 19/19 20/22 19/19 11/38 22/22 36/36 22/22 32/32 20/20 08/40 17/34 27/27 10/10 09/09 21/21 31/31 32/40 18/48 34/49 29/50 11/11 18/18
039 34/34 10/10 46/46 48/48 46/46 25/29 24/24 14/48 14/14 15/20 46/46 41/41 10/10 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/41 04/04 29/29 06/06 32/32 28/28 46/46 19/19 21/21 23/37
040 03/03 07/50 37/41 46/46 12/12 43/45 08/47 03/03 19/19 20/22 30/30 04/38 22/22 36/36 33/33 02/32 07/07 40/40 17/34 12/27 14/14 42/42 29/29 09/18 40/40 48/48 34/34 29/29 11/11 42/42
041 45/45 07/07 07/37 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/30 38/38 22/34 16/16 22/33 02/02 20/20 40/40 17/34 27/27 10/14 09/09 26/29 06/31 32/40 18/48 34/46 50/50 11/11 07/18
042 45/45 07/07 07/07 46/46 11/47 45/45 08/08 33/33 19/19 20/20 19/19 38/38 24/24 16/16 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
043 45/45 07/07 07/07 46/46 11/11 45/45 08/08 33/33 14/19 20/20 19/19 38/38 22/24 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 09/18 40/40 48/48 34/46 50/50 11/11 18/42
044 45/45 10/10 41/41 48/48 14/46 25/29 13/36 26/26 19/19 22/22 46/46 11/25 10/10 16/18 22/22 32/32 08/32 40/40 33/33 22/22 14/14 09/09 45/45 06/06 32/32 18/28 06/46 36/50 11/11 18/18
045 34/34 10/10 05/05 48/48 42/46 25/25 36/36 26/48 05/14 20/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/19 21/30 23/23
046 45/45 10/10 22/46 48/48 14/46 29/29 25/25 03/03 05/05 22/34 46/46 25/25 10/10 27/27 22/22 45/45 08/32 40/40 33/33 22/22 10/14 02/09 29/29 06/06 32/32 28/28 06/46 19/19 21/30 23/23
047 45/45 10/10 41/46 04/48 14/14 25/29 25/36 26/26 05/19 22/22 46/46 25/25 10/10 27/27 22/22 32/45 08/08 40/40 33/43 22/22 10/14 09/09 29/45 06/06 32/32 18/18 34/34 19/50 21/21 18/23
048 45/45 07/07 41/41 46/46 11/12 45/45 08/08 33/33 19/19 04/04 19/19 38/38 22/24 16/18 33/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 29/45 18/19 40/40 18/48 34/34 50/50 11/11 38/38
049 45/45 07/07 07/07 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/30 11/38 22/22 36/36 22/22 02/32 20/20 40/40 34/34 27/27 10/14 09/09 29/29 31/31 32/40 18/18 34/34 29/50 11/11 18/18
050 45/45 07/07 07/07 46/46 11/12 45/45 08/08 03/33 19/19 20/20 19/19 38/38 24/34 18/18 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 45/45 09/19 40/40 48/48 34/34 50/50 11/11 42/42
051 34/45 10/25 05/05 04/48 46/46 25/29 24/36 03/48 05/14 20/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 17/17 22/22 10/41 04/04 29/29 06/06 32/32 28/49 06/46 17/36 21/30 37/37
052 45/45 07/07 07/37 46/46 11/12 45/45 08/08 33/48 14/19 04/20 19/30 38/38 24/24 16/16 33/33 41/41 07/07 40/40 17/17 12/27 14/14 09/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
053 45/45 10/10 05/05 04/08 46/46 25/25 24/36 48/48 05/14 34/34 46/46 41/41 10/10 16/16 22/22 45/45 08/32 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 23/23
054 45/45 07/07 07/41 46/46 11/11 45/45 08/08 33/33 19/19 20/20 19/30 38/38 22/24 16/18 33/33 32/41 07/07 40/40 17/17 12/27 10/14 42/42 29/45 09/19 40/40 48/48 34/46 50/50 11/11 42/42
055 45/45 10/10 46/46 04/08 11/11 25/29 36/36 03/48 14/14 22/34 46/46 25/25 10/10 16/16 22/22 32/45 32/32 08/40 43/43 22/22 10/10 09/09 29/29 06/06 32/32 49/49 46/46 19/19 11/21 18/18
056 45/45 07/50 07/41 46/46 12/12 29/29 08/25 03/03 19/19 22/22 19/46 11/38 22/22 18/36 22/33 02/32 20/20 28/40 17/34 27/27 14/14 09/09 21/29 31/31 32/32 18/18 34/34 50/50 11/11 18/18
057 45/45 50/50 07/07 46/48 14/14 25/25 25/36 26/26 05/19 22/22 46/46 25/25 10/10 27/27 22/22 45/45 08/08 40/40 33/33 22/22 14/14 09/09 29/29 06/06 32/32 18/28 06/06 19/36 21/21 23/23
058 45/45 07/07 07/07 46/46 11/11 45/45 08/08 33/48 19/19 04/04 19/19 38/38 24/24 16/16 33/33 02/32 07/07 40/40 17/17 12/27 10/14 42/42 29/43 18/18 40/40 48/48 34/46 50/50 11/11 18/42
059 45/45 07/07 07/41 46/48 12/12 45/45 08/08 03/03 19/19 22/22 30/46 11/38 22/22 18/36 22/22 32/32 20/20 40/40 17/34 27/27 10/14 09/09 21/29 06/31 32/40 18/48 34/49 29/50 11/11 18/18
060 45/45 10/10 46/46 08/48 11/46 25/29 25/36 26/48 05/05 22/34 46/46 25/25 10/10 27/27 22/22 45/45 32/32 08/08 33/43 22/22 10/14 02/09 29/29 06/06 32/32 18/49 06/46 19/19 11/21 23/23
061 45/45 10/10 41/41 04/48 11/11 25/25 36/36 26/26 19/19 22/34 46/46 25/25 10/10 25/27 22/22 32/32 08/08 08/40 33/33 22/22 14/14 09/42 29/45 31/31 32/32 18/18 06/06 19/50 21/21 18/23
062 34/34 10/10 05/05 04/04 46/46 25/25 24/36 26/48 14/14 20/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/19 21/21 23/23
063 45/45 07/07 07/41 41/41 12/12 45/45 08/08 03/03 19/19 20/22 19/30 38/38 22/34 18/36 22/33 02/02 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/18 40/40 18/18 34/34 50/50 11/11 42/42
064 45/45 07/07 41/41 46/46 12/12 45/45 08/08 03/48 19/19 04/22 19/30 04/38 34/34 16/18 33/33 02/41 07/07 40/40 17/17 12/12 10/14 42/42 45/45 18/18 40/40 48/48 34/34 50/50 11/11 42/42
065 45/45 10/10 07/46 48/48 14/46 25/25 08/08 26/26 05/05 22/22 46/46 18/18 10/10 27/27 22/22 32/45 32/32 40/40 33/33 22/22 14/14 09/09 29/29 06/06 32/32 28/49 06/46 19/19 11/21 18/23
066 34/34 10/10 05/05 04/08 42/46 25/29 24/24 26/48 14/14 34/34 46/46 41/41 10/10 16/16 15/22 32/45 08/08 08/08 17/43 22/22 41/41 04/04 29/29 06/06 32/32 28/28 46/46 17/19 21/21 23/37
067 45/45 50/50 07/07 46/46 12/12 29/45 08/13 03/03 19/19 22/22 19/46 11/11 22/22 36/36 22/33 02/32 20/32 40/40 17/34 27/27 10/10 09/09 21/21 06/31 40/40 18/18 34/49 50/50 11/11 18/18
068 34/34 10/10 05/46 48/48 46/46 25/29 36/36 26/48 14/14 22/34 46/46 41/41 10/10 16/25 15/22 45/45 08/08 08/08 43/43 22/22 10/10 02/02 29/29 06/06 32/32 49/49 46/46 17/19 21/21 18/23
069 45/45 07/50 07/37 46/46 11/12 45/45 08/08 03/33 14/19 22/22 19/19 38/38 34/34 18/36 22/33 02/32 07/07 40/40 34/34 12/12 14/14 42/42 45/45 09/09 40/40 18/18 46/46 50/50 11/11 42/42
070 34/34 10/10 05/05 48/48 42/46 25/25 36/36 26/26 14/14 20/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 19/36 21/21 23/23
071 45/45 07/07 07/41 46/46 11/47 45/45 08/08 03/33 14/19 04/20 19/30 38/38 24/34 16/16 33/33 02/41 07/07 40/40 17/17 27/27 10/14 42/42 45/45 19/19 40/40 48/48 34/34 50/50 11/11 42/42
072 45/45 07/07 41/41 46/46 11/12 45/45 08/08 33/33 19/19 20/20 19/19 38/38 22/34 16/16 33/33 02/32 07/07 40/40 17/17 27/27 14/14 42/42 29/45 18/18 40/40 48/48 34/34 50/50 11/11 38/42
073 45/45 07/07 07/41 46/46 11/11 45/45 08/08 33/33 19/19 04/15 19/19 38/38 24/34 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 29/43 18/19 40/40 18/48 34/34 50/50 11/11 38/42
074 03/03 07/50 37/37 46/46 12/12 43/43 25/47 03/03 19/19 20/22 19/30 38/38 22/22 18/36 33/33 02/02 20/20 40/40 17/17 12/27 10/10 09/42 29/29 09/18 40/40 48/48 34/46 29/29 11/11 07/42
075 45/45 07/07 41/41 46/46 12/12 45/45 08/08 03/48 19/19 20/22 19/30 04/38 22/34 18/36 33/33 02/02 07/07 40/40 17/17 12/27 14/14 42/42 45/45 09/18 40/40 18/18 46/46 50/50 11/11 42/42
076 45/45 07/07 37/41 46/46 12/12 43/43 08/47 03/03 14/19 20/22 30/30 38/38 22/22 18/36 33/33 02/32 07/20 40/40 34/34 27/27 10/10 42/42 29/29 09/31 40/40 48/48 34/46 29/50 11/11 07/42
077 45/45 07/50 37/41 46/46 12/12 29/43 13/47 03/03 19/19 22/22 19/30 38/38 34/34 36/36 33/33 02/32 07/07 40/40 17/34 12/27 10/14 09/42 29/29 09/31 32/32 48/48 34/46 50/50 11/11 18/18
078 45/45 10/10 41/46 48/48 11/46 25/25 24/24 26/26 05/05 22/34 46/46 25/41 10/10 25/27 22/22 45/45 32/32 08/40 33/43 22/22 10/14 02/09 29/29 06/06 32/32 28/49 46/46 19/19 11/30 18/18
079 34/34 10/10 05/05 04/48 42/46 25/29 36/36 26/26 23/23 20/34 46/46 41/41 10/10 16/16 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 23/23
080 45/45 07/07 37/41 41/46 12/12 45/45 08/08 33/48 19/19 15/22 19/30 04/38 22/34 18/36 33/33 02/02 07/07 40/40 17/17 12/12 10/14 42/42 43/45 09/18 40/40 18/18 34/34 29/50 11/11 42/42
081 45/45 10/10 22/46 48/48 11/46 25/25 08/36 03/03 14/14 22/34 46/46 25/25 10/10 25/27 22/22 45/45 08/32 40/40 43/43 22/22 10/14 09/43 29/29 06/06 32/32 18/18 06/46 19/36 11/21 23/23
082 45/45 10/10 41/41 46/48 14/14 25/29 36/36 26/26 05/19 22/34 46/46 25/25 10/10 25/27 22/22 32/45 08/08 40/40 33/33 22/22 14/14 09/09 29/29 06/06 32/32 18/28 34/46 36/50 11/21 18/23
083 45/45 07/07 41/41 46/46 11/11 45/45 08/08 33/33 19/19 04/04 19/19 38/38 24/24 16/16 33/33 41/41 07/07 40/40 17/17 27/27 14/14 42/42 43/43 09/19 40/40 18/48 34/34 50/50 11/11 18/42
084 34/45 10/25 05/46 08/48 46/46 25/29 24/36 03/26 05/14 20/20 46/46 41/41 10/10 16/25 22/22 32/45 08/08 08/08 17/43 22/22 10/10 04/04 29/29 06/06 32/32 28/49 06/46 17/36 21/21 23/37
085 45/45 07/07 07/07 46/46 47/47 45/45 08/08 03/33 19/19 04/20 19/30 38/38 24/24 16/18 33/33 41/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 19/19 40/40 48/48 34/34 50/50 11/11 18/42
086 34/45 10/10 20/46 48/48 42/46 25/25 24/36 48/48 05/05 20/34 46/46 41/41 10/10 16/25 22/22 32/45 08/32 15/15 17/43 22/22 10/10 02/04 29/29 06/06 32/32 28/49 46/46 19/36 21/30 18/23
087 34/34 10/10 05/05 04/08 42/46 25/25 24/24 03/14 14/14 20/34 46/46 41/41 10/10 25/25 22/22 45/45 08/08 15/15 43/43 22/22 41/41 02/02 29/29 06/06 32/32 49/49 06/46 17/17 21/30 23/37
088 45/45 07/50 07/41 46/46 12/12 29/29 08/08 03/03 19/19 20/22 30/46 11/38 10/10 18/36 22/33 02/32 07/20 08/40 34/34 27/27 10/14 09/09 21/29 31/31 32/40 18/18 34/34 29/50 11/11 18/18
089 45/45 07/07 07/41 46/46 12/47 45/45 08/30 33/33 19/19 04/20 30/30 38/38 24/24 16/18 33/33 02/02 07/07 40/40 17/49 27/27 10/14 42/42 45/45 18/19 40/40 18/48 34/34 50/50 11/11 42/42
090 45/45 07/07 41/41 46/46 11/11 45/45 08/08 33/33 19/19 04/20 19/19 38/38 22/34 16/18 33/33 02/41 07/07 40/40 17/17 27/27 14/14 42/42 45/45 09/18 40/40 48/48 46/46 50/50 11/11 42/42
091 34/45 10/10 46/46 08/48 42/46 25/29 24/24 03/26 05/05 22/34 46/46 41/41 10/10 25/25 22/22 32/45 08/08 08/08 17/43 22/22 10/10 02/04 29/29 06/06 40/40 28/49 46/46 19/19 21/21 18/23
092 45/45 07/07 07/07 46/46 11/12 45/45 08/08 33/48 19/19 22/22 30/30 38/38 22/34 18/18 22/33 32/32 07/07 40/40 17/17 12/27 14/14 42/42 45/45 18/18 40/40 18/48 34/34 50/50 11/11 42/42
093 03/03 50/50 41/41 46/46 12/12 43/43 08/47 03/03 19/19 22/22 30/30 38/38 22/34 18/36 33/33 02/02 07/07 40/40 34/34 12/27 14/14 42/42 29/29 18/31 40/40 48/48 34/34 29/50 11/11 42/42
094 45/45 10/10 46/46 04/04 11/46 29/29 36/36 03/14 05/14 34/34 46/46 25/25 10/28 27/27 22/22 45/45 08/08 40/40 33/33 22/22 10/14 02/09 29/45 06/06 32/32 28/28 46/46 19/19 30/30 18/18
095 34/45 10/10 46/46 48/48 46/46 25/29 24/24 26/48 05/05 20/34 46/46 41/41 10/10 25/25 22/22 32/45 32/32 08/15 17/17 22/22 10/10 02/04 29/29 06/06 32/32 49/49 06/46 17/36 21/21 23/37
096 34/34 10/10 05/05 04/48 46/46 29/29 36/36 26/48 05/14 34/34 46/46 41/41 10/10 16/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 04/04 29/29 06/06 32/32 49/49 46/46 17/17 21/21 18/23
097 45/45 07/07 07/07 46/46 12/12 43/43 08/08 03/03 19/19 22/22 19/30 38/38 34/34 16/16 33/33 02/32 20/20 40/40 17/34 27/27 10/10 09/09 26/29 31/31 40/40 18/18 34/34 50/50 11/11 18/18
098 34/45 10/10 46/46 04/48 46/46 25/29 24/24 03/26 05/14 22/34 46/46 41/41 10/28 25/25 22/22 32/32 08/32 08/08 43/43 22/22 10/14 04/09 29/29 06/06 32/32 28/49 46/46 19/19 01/11 23/23
099 45/45 07/07 07/41 46/46 11/11 45/45 08/08 33/48 19/19 20/20 19/19 38/38 24/34 16/16 33/33 32/41 07/07 40/40 17/17 12/27 14/14 42/42 29/45 18/19 40/40 18/48 34/34 50/50 11/11 42/42
100 45/45 07/50 07/41 46/46 12/12 29/45 13/13 03/03 19/19 22/22 19/19 38/38 22/34 16/18 22/33 02/32 20/20 40/40 34/34 27/27 14/14 09/09 26/29 31/31 40/40 48/48 34/34 19/50 11/11 18/18
101 45/45 07/07 07/41 46/46 12/12 45/45 08/08 03/03 19/19 20/20 19/30 38/38 24/24 18/18 33/33 02/02 07/07 40/40 17/17 12/27 10/10 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 42/42
102 45/45 07/07 07/07 46/46 11/11 45/45 08/08 33/33 19/19 04/20 19/19 38/38 34/34 16/18 26/33 02/02 07/07 40/40 17/17 27/27 14/14 42/42 45/45 18/19 40/40 48/48 34/34 50/50 11/11 18/42
103 45/45 07/50 41/41 46/48 12/12 45/45 08/08 03/03 19/19 22/22 19/19 38/38 22/34 18/36 22/33 02/32 20/20 40/40 17/34 27/27 10/14 09/42 26/29 06/31 32/40 18/48 34/34 29/50 11/11 18/18
104 45/45 07/50 41/41 46/46 12/12 29/45 13/25 03/03 19/19 22/22 19/46 38/38 22/22 16/36 22/33 02/32 07/20 40/40 17/17 27/27 14/14 09/42 29/29 31/31 40/40 18/48 34/34 29/50 11/11 18/42
105 45/45 07/07 41/41 46/48 12/12 29/45 08/25 03/03 19/19 22/22 19/30 38/38 22/22 18/36 22/33 02/02 20/20 08/40 17/34 27/27 14/14 09/09 29/29 31/31 40/40 18/18 34/46 50/50 11/11 18/18
106 45/45 07/50 07/41 41/46 12/12 45/45 08/08 33/33 19/19 15/20 19/19 04/38 24/34 18/18 22/22 02/32 07/07 40/40 17/17 12/27 14/14 42/42 29/45 18/19 40/40 18/48 34/46 50/50 11/11 42/42
107 45/45 10/10 46/46 08/48 42/42 25/29 24/24 26/26 05/14 20/22 46/46 25/41 10/28 25/25 22/22 45/45 08/08 08/08 43/43 22/22 10/10 02/09 29/29 06/06 32/40 28/28 46/46 19/19 11/11 23/23
108 34/45 10/10 46/46 48/48 01/46 25/29 25/36 03/03 05/14 15/34 46/46 25/25 10/28 16/25 22/22 45/45 32/32 08/08 43/43 22/22 10/10 04/09 29/29 06/06 32/32 28/28 06/46 19/19 21/30 18/23
109 45/45 10/10 46/46 48/48 46/46 25/29 08/25 26/26 05/05 22/34 46/46 18/18 10/10 27/27 22/22 45/45 32/32 40/40 43/43 22/22 14/14 02/09 45/45 06/06 32/32 18/49 06/46 19/19 11/21 23/23
110 45/45 10/10 07/22 48/48 11/11 29/29 36/36 26/26 05/14 22/34 46/46 25/25 10/10 25/25 22/22 45/45 08/08 40/40 33/43 22/22 14/14 09/09 29/29 06/06 32/32 28/28 06/46 19/19 21/21 18/23
111 34/34 10/10 05/46 04/04 42/46 25/25 24/24 03/26 14/14 34/34 46/46 25/25 10/10 25/25 22/22 45/45 08/32 08/08 43/43 22/22 10/10 09/09 29/29 06/06 32/32 28/49 46/46 19/19 21/21 18/23
112 45/45 10/10 07/41 04/48 11/46 25/25 36/36 03/26 19/19 22/22 46/46 25/25 10/10 18/27 22/22 32/32 08/08 40/40 33/33 22/22 14/14 09/42 29/45 06/06 32/32 18/28 06/06 19/19 21/21 18/18
113 03/03 50/50 41/41 46/46 11/12 43/43 47/47 03/03 19/19 20/22 19/30 38/38 22/22 36/36 33/33 02/02 07/07 40/40 17/34 12/27 10/14 09/42 29/29 09/31 40/40 48/48 34/34 29/50 11/11 07/42
